
               COMPENSAÇÃO GEODESICA DA REDE :  REDE DE GEODESIA (ZONA SUL)       
           DATUM :  Datum_73          ELIPSÓIDE  :HAYFORD 

                   PROJECÇÃO CARTOGRÁFICA : GAUSS 

               PARA O PONTO CENTRAL DE   39 40   .000
                                         -8  7 54.862


                26 PONTOS LIVRES           2 PONTOS FIXOS

           120 DIRECÇÕES      0 COMPRIMENTOS      0 AZIMUTES



        DIRECÇÃO     ME   MV         RESÍDUOS

            1         1 -  16                 -.722
            2         1 -  13                -1.221
            3         1 -  11                  .384
            4         1 -   2                 -.626
            5         1 -   4                  .639
            6         1 -  25                 1.546
            7         2 -   1                  .217
            8         2 -  11                 -.814
            9         2 -   6                  .648
           10         2 -   3                  .673
           11         2 -   4                 -.724
           12         3 -   2                 -.776
           13         3 -   6                  .881
           14         3 -   4                 -.105
           15         4 -  25                  .417
           16         4 -   1                 -.307
           17         4 -   2                  .334
           18         4 -   3                  .444
           19         4 -   5                 -.888
           20         5 -  25                 -.812
           21         5 -   4                  .892
           22         5 -  22                 -.081
           23         6 -  11                  .853
           24         6 -   8                  .935
           25         6 -   9                  .000
           26         6 -   3                 -.623
           27         6 -   2                -1.166
           28         7 -  27                  .093
           29         7 -  26                  .214
           30         7 -  15                  .855
           31         7 -  22                 -.384
           32         7 -  24                 -.137
           33         7 -  23                 -.718
           34         7 -  17                  .076
           35         8 -  11                 1.072
           36         8 -  10                 -.168
           37         8 -   9                  .000
           38         8 -   6                 -.903
           39        10 -  12                 -.608
           40        10 -  11                  .396
           41        10 -   8                  .212
           42        11 -  28                  .420
           43        11 -  12                  .265
           44        11 -  10                 -.414
           45        11 -   8                -1.101
           46        11 -   6                 -.372
           47        11 -   2                  .436
           48        11 -   1                 -.165
           49        11 -  13                  .931
           50        12 -  28                 -.336
           51        12 -  11                 -.310
           52        12 -  10                  .646
           53        13 -  16                 -.193
           54        13 -  28                  .439
           55        13 -  11                -1.297
           56        13 -   1                 1.051
           57        15 -  14                  .000
           58        15 -  26                  .021
           59        15 -   7                 -.756
           60        15 -  22                  .795
           61        15 -  25                 -.547
           62        15 -  16                  .486
           63        16 -  15                 -.475
           64        16 -  25                 -.383
           65        16 -   1                  .677
           66        16 -  13                 -.004
           67        16 -  28                  .186
           68        17 -  27                 -.077
           69        17 -   7                  .102
           70        17 -  23                  .195
           71        17 -  18                 -.137
           72        17 -  19                 -.082
           73        18 -  21                -1.064
           74        18 -  19                  .483
           75        18 -  17                  .415
           76        18 -  23                  .203
           77        18 -  20                 -.037
           78        19 -  21                 -.093
           79        19 -  27                  .394
           80        19 -  17                  .479
           81        19 -  18                 -.780
           82        20 -  21                  .126
           83        20 -  18                 -.105
           84        20 -  23                 -.020
           85        21 -  20                  .041
           86        21 -  18                  .708
           87        21 -  19                  .221
           88        21 -  27                 -.971
           89        22 -  24                  .354
           90        22 -   7                  .412
           91        22 -  15                 -.766
           92        22 -  25                 -.103
           93        22 -   5                  .104
           94        23 -  20                  .185
           95        23 -  18                 -.712
           96        23 -  17                  .264
           97        23 -   7                  .503
           98        23 -  24                 -.240
           99        24 -  23                  .220
          100        24 -   7                  .164
          101        24 -  22                 -.384
          102        25 -  15                  .514
          103        25 -  16                  .580
          104        25 -   1                -1.722
          105        25 -   4                 -.230
          106        25 -   5                  .786
          107        25 -  22                  .071
          108        26 -  27                  .303
          109        26 -   7                 -.231
          110        26 -  15                 -.072
          111        26 -  14                  .000
          112        27 -  21                  .912
          113        27 -  19                 -.749
          114        27 -  17                  .601
          115        27 -   7                 -.442
          116        27 -  26                 -.322
          117        28 -  16                  .094
          118        28 -  13                 -.588
          119        28 -  11                  .134
          120        28 -  12                  .360


            VARIANCIA DA UNIDADE DE PESO =   .984

            NUMERO DE GRAUS DE LIBERDADE =    42


                  COORDENADAS COMPENSADAS


      PONTO   DELTA M    DELTA P         M            P

          1      .0000     .0000     11742.3101  -283761.0549
          2      .0000     .0001     12391.3188  -287703.4447
          3     -.0001     .0002     11711.1188  -291769.3843
          4      .0000     .0001      8022.4290  -289248.7334
          5      .0001     .0002      6528.6703  -289855.1911
          6     -.0001     .0002     15324.8929  -292749.7765
          7      .0001    -.0001     -2868.5125  -282401.9961
          8     -.0001     .0000     20696.8665  -289505.6791
          9     -.0002     .0001     22395.5772  -291855.6434
         10     -.0001     .0000     21875.2504  -283693.3186
         11     -.0001     .0000     17796.5970  -284937.8895
         12     -.0001     .0000     19688.9527  -278362.2283
         13      .0000     .0000     13422.3849  -280906.5688
         14     -.0002     .0000      1945.1737  -278644.2476
         15      .0000     .0000      6410.2605  -278554.0969
         16      .0000     .0001      9571.6133  -278594.1619
         17      .0001    -.0001     -5979.8383  -281303.0425
         18      .0001    -.0001     -8566.4968  -283226.9516
         19      .0001    -.0001     -8375.3015  -278925.4477
         20      .0001    -.0001    -12210.5170  -286013.2102
         21     -.0001    -.0001    -10129.9481  -276349.8951
         22      .0001     .0001      2601.9129  -285739.7667
         23      .0001    -.0001     -4470.9498  -285150.3736
         24      .0001     .0000     -2551.1745  -286735.8308
         25      .0000     .0001      6403.7617  -283569.2402
         26      .0001     .0000      -474.4738  -278907.1904
         27    PONTO FIXO            -3272.2190  -277326.0950
         28    PONTO FIXO            14053.9570  -278736.9830
