
               COMPENSAÇÃO GEODESICA DA REDE :  REDE DE GEODESIA (ZONA SUL)       
           DATUM :  Datum_73          ELIPSÓIDE  :HAYFORD 

                   PROJECÇÃO CARTOGRÁFICA : GAUSS 

               PARA O PONTO CENTRAL DE   39 40   .000
                                         -8  7 54.862


                27 PONTOS LIVRES           1 PONTOS FIXOS

           120 DIRECÇÕES      2 COMPRIMENTOS      2 AZIMUTES



        DIRECÇÃO     ME   MV         RESÍDUOS

            1         1 -  16                -1.653
            2         1 -  13                 -.899
            3         1 -  11                  .663
            4         1 -   2                 -.822
            5         1 -   4                  .787
            6         1 -  25                 1.924
            7         2 -   1                  .264
            8         2 -  11                 -.973
            9         2 -   6                  .693
           10         2 -   3                  .815
           11         2 -   4                 -.798
           12         3 -   2                -1.108
           13         3 -   6                 1.024
           14         3 -   4                  .084
           15         4 -  25                  .521
           16         4 -   1                 -.196
           17         4 -   2                 -.021
           18         4 -   3                  .826
           19         4 -   5                -1.130
           20         5 -  25                 -.789
           21         5 -   4                 1.134
           22         5 -  22                 -.346
           23         6 -  11                 1.325
           24         6 -   8                  .444
           25         6 -   9                  .000
           26         6 -   3                 -.328
           27         6 -   2                -1.441
           28         7 -  27                 -.234
           29         7 -  26                 -.019
           30         7 -  15                  .112
           31         7 -  22                  .228
           32         7 -  24                 -.113
           33         7 -  23                 -.073
           34         7 -  17                  .098
           35         8 -  11                 1.493
           36         8 -  10                 -.306
           37         8 -   9                  .000
           38         8 -   6                -1.187
           39        10 -  12                -1.221
           40        10 -  11                  .825
           41        10 -   8                  .397
           42        11 -  28                 -.922
           43        11 -  12                  .422
           44        11 -  10                 -.452
           45        11 -   8                 -.825
           46        11 -   6                  .162
           47        11 -   2                  .019
           48        11 -   1                  .100
           49        11 -  13                 1.497
           50        12 -  28                 -.859
           51        12 -  11                  .571
           52        12 -  10                  .289
           53        13 -  16                 -.472
           54        13 -  28                  .016
           55        13 -  11                 -.817
           56        13 -   1                 1.273
           57        15 -  14                 -.011
           58        15 -  26                 -.511
           59        15 -   7                -1.943
           60        15 -  22                 1.049
           61        15 -  25                  .770
           62        15 -  16                  .646
           63        16 -  15                -1.498
           64        16 -  25                  .297
           65        16 -   1                  .788
           66        16 -  13                  .859
           67        16 -  28                 -.446
           68        17 -  27                  .322
           69        17 -   7                 -.851
           70        17 -  23                  .737
           71        17 -  18                  .431
           72        17 -  19                 -.638
           73        18 -  21                -1.016
           74        18 -  19                 -.182
           75        18 -  17                  .351
           76        18 -  23                  .838
           77        18 -  20                  .009
           78        19 -  21                  .134
           79        19 -  27                 -.366
           80        19 -  17                  .485
           81        19 -  18                 -.253
           82        20 -  21                  .000
           83        20 -  18                  .132
           84        20 -  23                 -.132
           85        21 -  20                  .255
