
               COMPENSAÇÃO GEODESICA DA REDE :  REDE DE GEODESIA (ZONA SUL)       
           DATUM :  Datum_73          ELIPSÓIDE  :HAYFORD 

                   PROJECÇÃO CARTOGRÁFICA : GAUSS 

               PARA O PONTO CENTRAL DE   39 40   .000
                                         -8  7 54.862


                27 PONTOS LIVRES           1 PONTOS FIXOS

           120 DIRECÇÕES      1 COMPRIMENTOS      1 AZIMUTES



        DIRECÇÃO     ME   MV         RESÍDUOS

            1         1 -  16                 -.722
            2         1 -  13                -1.221
            3         1 -  11                  .384
            4         1 -   2                 -.626
            5         1 -   4                  .639
            6         1 -  25                 1.547
            7         2 -   1                  .217
            8         2 -  11                 -.814
            9         2 -   6                  .648
           10         2 -   3                  .673
           11         2 -   4                 -.724
           12         3 -   2                 -.776
           13         3 -   6                  .881
           14         3 -   4                 -.105
           15         4 -  25                  .417
           16         4 -   1                 -.307
           17         4 -   2                  .334
           18         4 -   3                  .444
           19         4 -   5                 -.888
           20         5 -  25                 -.812
           21         5 -   4                  .892
           22         5 -  22                 -.081
           23         6 -  11                  .853
           24         6 -   8                  .935
           25         6 -   9                  .000
           26         6 -   3                 -.623
           27         6 -   2                -1.166
           28         7 -  27                  .093
           29         7 -  26                  .214
           30         7 -  15                  .855
           31         7 -  22                 -.384
           32         7 -  24                 -.137
           33         7 -  23                 -.718
           34         7 -  17                  .076
           35         8 -  11                 1.072
           36         8 -  10                 -.168
           37         8 -   9                  .000
           38         8 -   6                 -.903
           39        10 -  12                 -.608
           40        10 -  11                  .396
           41        10 -   8                  .212
           42        11 -  28                  .420
           43        11 -  12                  .265
           44        11 -  10                 -.414
           45        11 -   8                -1.101
           46        11 -   6                 -.372
           47        11 -   2                  .436
           48        11 -   1                 -.165
           49        11 -  13                  .931
           50        12 -  28                 -.336
           51        12 -  11                 -.310
           52        12 -  10                  .646
           53        13 -  16                 -.193
           54        13 -  28                  .439
           55        13 -  11                -1.297
           56        13 -   1                 1.051
           57        15 -  14                  .000
           58        15 -  26                  .021
           59        15 -   7                 -.755
           60        15 -  22                  .795
           61        15 -  25                 -.547
           62        15 -  16                  .486
           63        16 -  15                 -.475
           64        16 -  25                 -.383
           65        16 -   1                  .677
           66        16 -  13                 -.004
           67        16 -  28                  .185
           68        17 -  27                 -.077
           69        17 -   7                  .101
           70        17 -  23                  .195
           71        17 -  18                 -.137
           72        17 -  19                 -.082
           73        18 -  21                -1.064
           74        18 -  19                  .483
           75        18 -  17                  .414
           76        18 -  23                  .203
           77        18 -  20                 -.037
           78        19 -  21                 -.093
           79        19 -  27                  .394
           80        19 -  17                  .479
           81        19 -  18                 -.779
           82        20 -  21                  .126
           83        20 -  18                 -.105
           84        20 -  23                 -.021
           85        21 -  20                  .041
           86        21 -  18                  .708
           87        21 -  19                  .221
           88        21 -  27                 -.971
           89        22 -  24                  .354
           90        22 -   7                  .412
           91        22 -  15                 -.767
           92        22 -  25                 -.103
           93        22 -   5                  .104
           94        23 -  20                  .186
           95        23 -  18                 -.712
           96        23 -  17                  .264
           97        23 -   7                  .503
           98        23 -  24                 -.240
           99        24 -  23                  .220
          100        24 -   7                  .164
          101        24 -  22                 -.384
          102        25 -  15                  .514
          103        25 -  16                  .580
          104        25 -   1                -1.722
          105        25 -   4                 -.230
          106        25 -   5                  .786
          107        25 -  22                  .072
          108        26 -  27                  .303
          109        26 -   7                 -.231
          110        26 -  15                 -.072
          111        26 -  14                  .000
          112        27 -  21                  .912
          113        27 -  19                 -.749
          114        27 -  17                  .601
          115        27 -   7                 -.442
          116        27 -  26                 -.322
          117        28 -  16                  .094
          118        28 -  13                 -.588
          119        28 -  11                  .134
          120        28 -  12                  .360


      COMPRIMENTO    ME   MV          RESÍDUOS

            1         6 -  11                  .000


        AZIMUTE      ME   MV          RESÍDUOS

            1        20 -  21                  .000


            VARIANCIA DA UNIDADE DE PESO =   .984

            NUMERO DE GRAUS DE LIBERDADE =    42


                  COORDENADAS COMPENSADAS


      PONTO   DELTA M    DELTA P         M            P

          1      .0001    -.0003     11742.4301  -283760.6352
          2      .0003    -.0004     12391.3410  -287702.7252
          3      .0005    -.0006     11711.1453  -291768.3395
          4      .0002    -.0007      8022.7735  -289247.8410
          5      .0002    -.0007      6529.1240  -289854.2335
          6      .0006    -.0005     15324.6257  -292748.6986
          7     -.0004    -.0009     -2867.2362  -282401.5072
          8      .0007    -.0001     20696.2191  -289504.9186
          9      .0008    -.0001     22394.7691  -291854.7200
         10      .0005     .0002     21874.5808  -283693.0257
         11      .0004    -.0001     17796.2307  -284937.4506
         12      .0002     .0003     19688.5176  -278362.3251
         13      .0000    -.0001     13422.4081  -280906.3920
         14     -.0004    -.0006      1946.1195  -278644.1097
         15     -.0003    -.0004      6410.8590  -278554.0195
         16     -.0002    -.0002      9571.9647  -278594.1193
         17     -.0006    -.0010     -5978.3062  -281302.6020
         18     -.0006    -.0010     -8564.7859  -283226.3300
         19     -.0007    -.0010     -8373.5540  -278925.1640
         20     -.0009    -.0012    -12208.5553  -286012.3275
         21     -.0008    -.0010    -10128.0327  -276349.7913
         22     -.0001    -.0008      2602.7223  -285739.0831
         23     -.0004    -.0010     -4469.5815  -285149.6510
         24     -.0003    -.0010     -2549.9750  -286735.0076
         25     -.0001    -.0005      6404.3006  -283568.7715
         26     -.0006    -.0007      -473.3424  -278907.0029
         27     -.0007    -.0008     -3270.8504  -277325.9973
         28    PONTO FIXO            14053.9570  -278736.9830
