
               COMPENSAÇÃO GEODESICA DA REDE :  REDE DE GEODESIA (ZONA SUL)       
           DATUM :  Datum_73          ELIPSÓIDE  :HAYFORD 

                   PROJECÇÃO CARTOGRÁFICA : GAUSS 

               PARA O PONTO CENTRAL DE   39 40   .000
                                         -8  7 54.862


                27 PONTOS LIVRES           1 PONTOS FIXOS

           120 DIRECÇÕES      1 COMPRIMENTOS      1 AZIMUTES



        DIRECÇÃO     ME   MV         RESÍDUOS

            1         1 -  16                -1.233
            2         1 -  13                 -.828
            3         1 -  11                  .564
            4         1 -   2                -1.063
            5         1 -   4                  .563
            6         1 -  25                 1.997
            7         2 -   1                  .454
            8         2 -  11                 -.836
            9         2 -   6                  .473
           10         2 -   3                  .738
           11         2 -   4                 -.829
           12         3 -   2                 -.880
           13         3 -   6                  .889
           14         3 -   4                 -.010
           15         4 -  25                  .603
           16         4 -   1                  .001
           17         4 -   2                 -.062
           18         4 -   3                  .417
           19         4 -   5                 -.959
           20         5 -  25                 -.280
           21         5 -   4                  .816
           22         5 -  22                 -.536
           23         6 -  11                 1.457
           24         6 -   8                  .598
           25         6 -   9                  .000
           26         6 -   3                 -.580
           27         6 -   2                -1.475
           28         7 -  27                  .050
           29         7 -  26                  .634
           30         7 -  15                  .014
           31         7 -  22                 -.630
           32         7 -  24                 -.130
           33         7 -  23                 -.403
           34         7 -  17                  .465
           35         8 -  11                 1.549
           36         8 -  10                 -.546
           37         8 -   9                  .000
           38         8 -   6                -1.003
           39        10 -  12                 -.815
           40        10 -  11                  .846
           41        10 -   8                 -.031
           42        11 -  28                 -.442
           43        11 -  12                  .282
           44        11 -  10                 -.658
           45        11 -   8                -1.184
           46        11 -   6                 -.091
           47        11 -   2                 -.041
           48        11 -   1                  .233
           49        11 -  13                 1.902
           50        12 -  28                 -.516
           51        12 -  11                  .241
           52        12 -  10                  .276
           53        13 -  16                 -.147
           54        13 -  28                  .027
           55        13 -  11                 -.934
           56        13 -   1                 1.055
           57        15 -  14                 -.012
           58        15 -  26                  .750
           59        15 -   7                -1.689
           60        15 -  22                  .214
           61        15 -  25                  .246
           62        15 -  16                  .490
           63        16 -  15                 -.799
           64        16 -  25                 -.089
           65        16 -   1                  .520
           66        16 -  13                  .785
           67        16 -  28                 -.417
           68        17 -  27                  .260
           69        17 -   7                 -.843
           70        17 -  23                  .400
           71        17 -  18                  .338
           72        17 -  19                 -.155
           73        18 -  21                 -.395
           74        18 -  19                 -.118
           75        18 -  17                  .238
           76        18 -  23                  .008
           77        18 -  20                  .267
           78        19 -  21                  .079
           79        19 -  27                  .109
           80        19 -  17                  .474
           81        19 -  18                 -.662
           82        20 -  21                  .561
           83        20 -  18                  .224
           84        20 -  23                 -.785
           85        21 -  20                  .414
           86        21 -  18                 1.341
           87        21 -  19                 -.361
           88        21 -  27                -1.394
           89        22 -  24                  .834
           90        22 -   7                  .021
           91        22 -  15                -1.401
           92        22 -  25                  .648
           93        22 -   5                 -.102
           94        23 -  20                  .200
           95        23 -  18                 -.103
           96        23 -  17                  .622
           97        23 -   7                 -.362
           98        23 -  24                 -.358
           99        24 -  23                  .717
          100        24 -   7                 -.394
          101        24 -  22                 -.323
          102        25 -  15                  .529
          103        25 -  16                  .423
          104        25 -   1                -1.369
          105        25 -   4                 -.524
          106        25 -   5                  .843
          107        25 -  22                  .098
          108        26 -  27                  .594
          109        26 -   7                 -.577
          110        26 -  15                 -.017
          111        26 -  14                  .000
          112        27 -  21                 1.457
          113        27 -  19                 -.821
          114        27 -  17                 1.219
          115        27 -   7                -1.538
          116        27 -  26                 -.318
          117        28 -  16                 -.115
          118        28 -  13                  .136
          119        28 -  11                 -.198
          120        28 -  12                  .176


      COMPRIMENTO    ME   MV          RESÍDUOS

            1         6 -  11                 -.051


        AZIMUTE      ME   MV          RESÍDUOS

            1        20 -  21                 -.130


            VARIANCIA DA UNIDADE DE PESO =  1.477

            NUMERO DE GRAUS DE LIBERDADE =    42


                  COORDENADAS COMPENSADAS


      PONTO   DELTA M    DELTA P         M            P

          1     5.0410    3.4951     11742.5580  -283760.6399
          2    24.5527   -2.8371     12391.4747  -287702.7691
          3    21.5827   -2.9979     11711.3187  -291768.4349
          4    14.8394    -.3063      8022.9004  -289247.9583
          5    27.5173    4.3972      6529.2713  -289854.3648
          6    13.2385   22.7153     15324.8155  -292748.6637
          7    16.5180    7.4466     -2867.1270  -282401.7764
          8    11.5240   *******     20696.4670  -289504.8637
          9    13.0462   12.9335     22395.1392  -291854.5845
         10     6.1007    4.6862     21874.7677  -283692.9708
         11    21.7655   15.2739     17796.3485  -284937.4401
         12    21.5968   -9.0444     19688.6228  -278362.2054
         13    17.3001    3.6831     13422.4871  -280906.3969
         14    15.9856   -2.3913      1946.0696  -278644.2593
         15    18.4645   -1.0358      6410.9655  -278554.1138
         16    22.1187     .0962      9572.0757  -278594.1778
         17    32.5749    7.1610     -5978.2641  -281302.8590
         18    22.5934    2.9410     -8564.7686  -283226.6300
         19     8.3334    3.0120     -8373.5546  -278925.2880
         20    17.7655   -7.4868    -12208.6435  -286012.6998
         21    24.5950    9.3316    -10128.0670  -276349.8564
         22     6.3001   -2.4364      2602.9051  -285739.3054
         23    35.7993   -9.5276     -4469.4907  -285149.9436
         24    22.6934   11.5067     -2549.8096  -286735.2443
         25    32.1885   *******      6404.4115  -283568.8940
         26    14.1678   -4.2357      -473.1872  -278907.1497
         27     1.3800     .0182     -3270.8390  -277326.0768
         28    PONTO FIXO            14053.9570  -278736.9830
