
               COMPENSAÇÃO GEODESICA DA REDE :  REDE DE GEODESIA (ZONA SUL)       
           DATUM :  Datum_73          ELIPSÓIDE  :HAYFORD 

                   PROJECÇÃO CARTOGRÁFICA : GAUSS 

               PARA O PONTO CENTRAL DE   39 40   .000
                                         -8  7 54.862


                26 PONTOS LIVRES           2 PONTOS FIXOS

           120 DIRECÇÕES      0 COMPRIMENTOS      0 AZIMUTES



        DIRECÇÃO     ME   MV         RESÍDUOS

            1         1 -  16                 -.723
            2         1 -  13                -1.221
            3         1 -  11                  .383
            4         1 -   2                 -.626
            5         1 -   4                  .639
            6         1 -  25                 1.547
            7         2 -   1                  .217
            8         2 -  11                 -.814
            9         2 -   6                  .648
           10         2 -   3                  .673
           11         2 -   4                 -.723
           12         3 -   2                 -.776
           13         3 -   6                  .881
           14         3 -   4                 -.105
           15         4 -  25                  .417
           16         4 -   1                 -.307
           17         4 -   2                  .334
           18         4 -   3                  .443
           19         4 -   5                 -.887
           20         5 -  25                 -.812
           21         5 -   4                  .892
           22         5 -  22                 -.080
           23         6 -  11                  .853
           24         6 -   8                  .935
           25         6 -   9                  .000
           26         6 -   3                 -.623
           27         6 -   2                -1.166
           28         7 -  27                  .094
           29         7 -  26                  .214
           30         7 -  15                  .854
           31         7 -  22                 -.384
           32         7 -  24                 -.137
           33         7 -  23                 -.717
           34         7 -  17                  .076
           35         8 -  11                 1.072
           36         8 -  10                 -.169
           37         8 -   9                  .000
           38         8 -   6                 -.903
           39        10 -  12                 -.608
           40        10 -  11                  .396
           41        10 -   8                  .212
           42        11 -  28                  .420
           43        11 -  12                  .264
           44        11 -  10                 -.414
           45        11 -   8                -1.101
           46        11 -   6                 -.372
           47        11 -   2                  .436
           48        11 -   1                 -.165
           49        11 -  13                  .931
           50        12 -  28                 -.336
           51        12 -  11                 -.310
           52        12 -  10                  .645
           53        13 -  16                 -.193
           54        13 -  28                  .439
           55        13 -  11                -1.297
           56        13 -   1                 1.052
           57        15 -  14                  .000
           58        15 -  26                  .021
           59        15 -   7                 -.755
           60        15 -  22                  .796
           61        15 -  25                 -.547
           62        15 -  16                  .485
           63        16 -  15                 -.475
           64        16 -  25                 -.382
           65        16 -   1                  .677
           66        16 -  13                 -.004
           67        16 -  28                  .184
           68        17 -  27                 -.077
           69        17 -   7                  .101
           70        17 -  23                  .196
           71        17 -  18                 -.137
           72        17 -  19                 -.083
           73        18 -  21                -1.064
           74        18 -  19                  .483
           75        18 -  17                  .414
           76        18 -  23                  .204
           77        18 -  20                 -.037
           78        19 -  21                 -.094
           79        19 -  27                  .394
           80        19 -  17                  .479
           81        19 -  18                 -.779
           82        20 -  21                  .126
           83        20 -  18                 -.105
           84        20 -  23                 -.020
           85        21 -  20                  .041
           86        21 -  18                  .708
           87        21 -  19                  .221
           88        21 -  27                 -.971
           89        22 -  24                  .354
           90        22 -   7                  .413
           91        22 -  15                 -.766
           92        22 -  25                 -.104
           93        22 -   5                  .103
           94        23 -  20                  .185
           95        23 -  18                 -.712
           96        23 -  17                  .264
           97        23 -   7                  .503
           98        23 -  24                 -.240
           99        24 -  23                  .221
          100        24 -   7                  .164
          101        24 -  22                 -.384
          102        25 -  15                  .515
          103        25 -  16                  .580
          104        25 -   1                -1.722
          105        25 -   4                 -.230
          106        25 -   5                  .786
          107        25 -  22                  .072
          108        26 -  27                  .303
          109        26 -   7                 -.230
          110        26 -  15                 -.073
          111        26 -  14                  .000
          112        27 -  21                  .912
          113        27 -  19                 -.749
          114        27 -  17                  .601
          115        27 -   7                 -.442
          116        27 -  26                 -.322
          117        28 -  16                  .094
          118        28 -  13                 -.588
          119        28 -  11                  .134
          120        28 -  12                  .360


            VARIANCIA DA UNIDADE DE PESO =   .984

            NUMERO DE GRAUS DE LIBERDADE =    42


                  COORDENADAS COMPENSADAS


      PONTO   DELTA M    DELTA P         M            P

          1     -.1124    -.0152     11742.3101  -283761.0549
          2     -.1019     .0165     12391.3188  -287703.4448
          3     -.1301     .0553     11711.1189  -291769.3845
          4     -.1014     .0730      8022.4290  -289248.7335
          5     -.1251     .0815      6528.6702  -289855.1913
          6     -.1338    -.0641     15324.8930  -292749.7767
          7     -.1114     .2308     -2868.5126  -282401.9960
          8     -.1884    -.0587     20696.8666  -289505.6791
          9     -.2969    -.1383     22395.5774  -291855.6435
         10     -.1462    -.0370     21875.2505  -283693.3186
         11     -.0827    -.0104     17796.5971  -284937.8895
         12     -.0900    -.0960     19688.9528  -278362.2283
         13     -.0706    -.0040     13422.3849  -280906.5688
         14      .1659     .1062      1945.1739  -278644.2476
         15     -.1107     .0592      6410.2605  -278554.0969
         16     -.1162     .0361      9571.6133  -278594.1620
         17     -.0246     .2217     -5979.8384  -281303.0424
         18      .0005     .2887     -8566.4969  -283226.9515
         19      .0458     .0838     -8375.3016  -278925.4476
         20      .0731     .3832    -12210.5171  -286013.2101
         21      .1165     .0129    -10129.9480  -276349.8950
         22     -.1788     .1783      2601.9128  -285739.7668
         23     -.0959     .2609     -4470.9499  -285150.3735
         24     -.1721     .1959     -2551.1746  -286735.8308
         25     -.1021     .0865      6403.7617  -283569.2403
         26     -.1767     .0850      -474.4739  -278907.1904
         27    PONTO FIXO            -3272.2190  -277326.0950
         28    PONTO FIXO            14053.9570  -278736.9830
