
               COMPENSAÇÃO GEODESICA DA REDE :  REDE DE GEODESIA (ZONA SUL)       
           DATUM :  Datum_73          ELIPSÓIDE  :HAYFORD 

                   PROJECÇÃO CARTOGRÁFICA : GAUSS 

               PARA O PONTO CENTRAL DE   39 40   .000
                                         -8  7 54.862


                27 PONTOS LIVRES           1 PONTOS FIXOS

           120 DIRECÇÕES      2 COMPRIMENTOS      2 AZIMUTES



        DIRECÇÃO     ME   MV         RESÍDUOS

            1         1 -  16                 -.772
            2         1 -  13                -1.216
            3         1 -  11                  .450
            4         1 -   2                 -.594
            5         1 -   4                  .643
            6         1 -  25                 1.490
            7         2 -   1                  .181
            8         2 -  11                 -.784
            9         2 -   6                  .682
           10         2 -   3                  .674
           11         2 -   4                 -.753
           12         3 -   2                 -.786
           13         3 -   6                  .917
           14         3 -   4                 -.131
           15         4 -  25                  .368
           16         4 -   1                 -.302
           17         4 -   2                  .374
           18         4 -   3                  .498
           19         4 -   5                 -.939
           20         5 -  25                 -.849
           21         5 -   4                  .955
           22         5 -  22                 -.106
           23         6 -  11                  .874
           24         6 -   8                  .957
           25         6 -   9                  .000
           26         6 -   3                 -.637
           27         6 -   2                -1.194
           28         7 -  27                  .040
           29         7 -  26                  .182
           30         7 -  15                  .911
           31         7 -  22                 -.269
           32         7 -  24                 -.132
           33         7 -  23                 -.728
           34         7 -  17                 -.005
           35         8 -  11                 1.044
           36         8 -  10                 -.064
           37         8 -   9                  .000
           38         8 -   6                 -.979
           39        10 -  12                 -.694
           40        10 -  11                  .365
           41        10 -   8                  .329
           42        11 -  28                  .359
           43        11 -  12                  .295
           44        11 -  10                 -.352
           45        11 -   8                -1.023
           46        11 -   6                 -.343
           47        11 -   2                  .414
           48        11 -   1                 -.218
           49        11 -  13                  .869
           50        12 -  28                 -.404
           51        12 -  11                 -.264
           52        12 -  10                  .668
           53        13 -  16                 -.248
           54        13 -  28                  .443
           55        13 -  11                -1.245
           56        13 -   1                 1.050
           57        15 -  14                  .000
           58        15 -  26                 -.112
           59        15 -   7                 -.848
           60        15 -  22                  .864
           61        15 -  25                 -.473
           62        15 -  16                  .569
           63        16 -  15                 -.594
           64        16 -  25                 -.392
           65        16 -   1                  .723
           66        16 -  13                  .043
           67        16 -  28                  .220
           68        17 -  27                 -.065
           69        17 -   7                  .141
           70        17 -  23                  .233
           71        17 -  18                 -.168
           72        17 -  19                 -.141
           73        18 -  21                -1.127
           74        18 -  19                  .481
           75        18 -  17                  .447
           76        18 -  23                  .293
           77        18 -  20                 -.094
           78        19 -  21                 -.119
           79        19 -  27                  .387
           80        19 -  17                  .499
           81        19 -  18                 -.767
           82        20 -  21                  .006
           83        20 -  18                 -.115
           84        20 -  23                  .108
           85        21 -  20                 -.060
           86        21 -  18                  .712
           87        21 -  19                  .247
           88        21 -  27                 -.898
           89        22 -  24                  .319
           90        22 -   7                  .307
           91        22 -  15                 -.770
           92        22 -  25                 -.043
           93        22 -   5                  .188
           94        23 -  20                  .134
           95        23 -  18                 -.755
           96        23 -  17                  .232
           97        23 -   7                  .543
           98        23 -  24                 -.153
           99        24 -  23                  .182
          100        24 -   7                  .093
          101        24 -  22                 -.274
          102        25 -  15                  .416
          103        25 -  16                  .600
          104        25 -   1                -1.654
          105        25 -   4                 -.154
          106        25 -   5                  .759
          107        25 -  22                  .032
          108        26 -  27                  .243
          109        26 -   7                 -.224
          110        26 -  15                 -.019
          111        26 -  14                  .000
          112        27 -  21                  .864
          113        27 -  19                 -.826
          114        27 -  17                  .621
          115        27 -   7                 -.367
          116        27 -  26                 -.292
          117        28 -  16                  .021
          118        28 -  13                 -.589
          119        28 -  11                  .182
          120        28 -  12                  .386


      COMPRIMENTO    ME   MV          RESÍDUOS

            1         6 -  11                 -.002
            2        18 -  19                  .001


        AZIMUTE      ME   MV          RESÍDUOS

            1        10 -   8                 -.048
            2        20 -  21                  .049


            VARIANCIA DA UNIDADE DE PESO =   .949

            NUMERO DE GRAUS DE LIBERDADE =    44


                  COORDENADAS COMPENSADAS


      PONTO   DELTA M    DELTA P         M            P

          1     -.0778    -.0170     11742.4088  -283760.6273
          2     -.0382     .0339     12391.3028  -287702.7196
          3     -.0243     .0845     11711.0894  -291768.3288
          4     -.0121     .0516      8022.7309  -289247.8158
          5     -.0514     .0364      6529.0830  -289854.2010
          6     -.0342     .0087     15324.5630  -292748.7041
          7     -.1775     .1454     -2867.2420  -282401.4568
          8     -.1502     .0438     20696.1698  -289504.9514
          9     -.2510    -.0025     22394.7061  -291854.7595
         10     -.1721     .0345     21874.5649  -283693.0640
         11     -.0676     .0362     17796.2051  -284937.4696
         12     -.1387    -.0709     19688.5251  -278362.3489
         13     -.0583     .0008     13422.3988  -280906.3906
         14     -.2491     .0724      1946.1416  -278644.0705
         15     -.1001     .0441      6410.8543  -278553.9927
         16     -.1101     .0243      9571.9630  -278594.1022
         17     -.1874     .1521     -5978.3038  -281302.5491
         18     -.2330     .1300     -8564.7793  -283226.2692
         19     -.2190     .0916     -8373.5434  -278925.1141
         20     -.2305     .1134    -12208.5373  -286012.2536
         21     -.2250     .0850    -10128.0179  -276349.7430
         22     -.1435     .0880      2602.6985  -285739.0405
         23     -.1825     .0961     -4469.5887  -285149.5912
         24     -.2112     .0280     -2549.9900  -286734.9482
         25     -.0702     .0438      6404.2808  -283568.7432
         26     -.1740     .1008      -473.3456  -278906.9621
         27     -.1022     .0777     -3270.8469  -277325.9549
         28    PONTO FIXO            14053.9570  -278736.9830
